School_ID,District,Block,Urban_Rural,%_Math_Score,%_Language_Score,%_Science_Score,Teacher_Student_Ratio,Avg_Teacher_Experience_Years,Teacher_Trainings_Attended,Electricity_Available,Internet_Available,Functional_Toilets,Library_Available,%_Marginalized_Students,%_Students_With_Home_Internet,Parent_Literacy_Rate
SCH_836,District_B,Block_B3,Urban,45.51,42.01,37.13,16.2,8.8,3,1,1.0,1,0,5.9,30.8,73.3
SCH_837,District_B,Block_B1,Rural,60.63,58.05,70.6,31.2,7.1,5,1,1.0,1,0,31.5,17.2,48.1
SCH_838,District_B,Block_B3,Rural,58.49,53.92,67.95,11.2,6.7,4,1,0.0,1,0,34.6,0.0,46.2
SCH_839,District_A,Block_A2,Rural,69.57,74.27,65.96,35.3,10.2,4,1,1.0,1,1,46.6,0.0,49.65370705244123
SCH_840,District_C,Block_C3,Rural,56.07,40.38,65.57,19.3,9.3,5,1,0.0,1,0,34.0,20.2,38.1
SCH_841,District_C,Block_C3,Rural,43.61,56.22,52.01,31.5,10.3,3,1,0.0,1,0,22.3,1.5,52.5
SCH_842,District_C,Block_C3,Urban,65.2,65.5,70.32,44.8,10.8,0,1,1.0,1,1,28.1,23.0,49.90759717314488
SCH_843,District_A,Block_A3,Rural,85.15,93.95,100.0,30.9,4.8,2,1,0.0,1,1,34.4,0.0,50.2
SCH_844,District_C,Block_C3,Rural,59.89,60.4,66.76,32.3,13.4,3,1,1.0,1,1,29.0,8.5,61.7
SCH_845,District_B,Block_B1,Urban,41.43,41.33,56.34,40.4,5.7,4,1,1.0,1,0,19.8,31.7,67.2
SCH_846,District_A,Block_A2,Urban,56.67,46.49,46.13,38.5,0.3,4,1,1.0,1,1,9.7,20.9,74.9
SCH_847,District_C,Block_C2,Rural,76.33,72.66,84.5,31.5,12.4,1,1,0.0,1,1,23.9,0.0,55.2
SCH_848,District_B,Block_B2,Rural,61.59,70.25,59.33,29.75,6.3,4,1,0.0,1,0,42.1,10.5,26.6
SCH_849,District_A,Block_A1,Rural,29.46,28.12,9.47,26.7,0.1,1,0,0.0,1,0,26.3,15.1,73.8
SCH_850,District_A,Block_A3,Urban,52.98,65.04,67.56,24.6,11.1,3,1,0.0,1,1,22.7,32.0,54.7
SCH_851,District_C,Block_C2,Rural,40.35,47.21,58.59,37.6,11.3,1,1,0.0,1,1,40.9,0.0,63.5
SCH_852,District_A,Block_A1,Rural,54.34,67.46,50.66,44.2,8.7,3,1,0.0,1,0,39.8,7.3,71.3
SCH_853,District_C,Block_C3,Urban,57.65,56.24,79.96,29.75,12.0,1,1,0.0,1,1,16.1,32.5,50.1
SCH_854,District_A,Block_A1,Rural,56.28,55.87,53.22,35.3,9.9,2,1,0.0,1,0,55.9,0.0,55.7
SCH_855,District_C,Block_C3,Urban,59.4,73.5,60.16,26.9,7.3,6,1,1.0,1,1,14.7,9.8,49.90759717314488
SCH_856,District_A,Block_A2,Urban,75.83,77.77,86.86,31.9,6.1,4,0,1.0,1,1,15.7,26.7,50.8
SCH_857,District_B,Block_B2,Urban,46.48,47.56,47.74,27.9,14.1,1,1,1.0,1,0,28.1,24.1,43.4
SCH_858,District_B,Block_B1,Rural,79.43,85.67,74.16,23.2,10.7,4,1,0.0,1,0,45.4,0.0,19.3
SCH_859,District_B,Block_B2,Rural,69.34,78.93,54.34,25.9,11.8,1,1,0.0,0,0,37.7,6.3,49.621442125237195
SCH_860,District_C,Block_C2,Rural,56.2,72.15,73.29,28.4,4.0,3,1,1.0,1,0,26.6,18.0,31.4
SCH_861,District_C,Block_C3,Urban,63.12,65.76,57.87,16.4,5.4,2,1,0.0,1,1,16.7,31.5,51.6
SCH_862,District_A,Block_A1,Rural,67.81,66.87,74.84,13.1,7.0,1,1,0.0,1,0,40.8,12.9,42.1
SCH_863,District_A,Block_A1,Urban,64.94,83.68,71.99,25.5,12.7,3,1,1.0,1,1,20.7,10.8,36.1
SCH_864,District_C,Block_C1,Urban,78.43,99.05,100.0,22.2,5.2,1,0,1.0,1,0,18.4,16.7,52.5
SCH_866,District_B,Block_B2,Urban,59.24,57.89,53.24,39.3,11.1,3,1,1.0,1,1,17.8,34.7,43.1
SCH_867,District_C,Block_C2,Rural,35.85,41.47,30.89,27.5,9.2,4,0,1.0,1,1,32.9,26.2,27.0
SCH_868,District_B,Block_B3,Rural,48.12,41.57,48.05,28.9,7.2,2,1,0.0,1,1,49.1,9.8,29.1
SCH_869,District_B,Block_B2,Urban,36.94,57.42,37.52,28.4,9.0,2,1,0.0,1,1,17.1,41.7,74.8
SCH_870,District_B,Block_B1,Rural,65.27,79.28,70.06,25.9,10.1,1,1,0.0,1,1,17.2,12.9,65.3
SCH_871,District_C,Block_C1,Rural,70.59,73.53,73.87,39.3,7.2,1,1,0.0,1,1,39.7,0.0,41.7
SCH_872,District_B,Block_B2,Rural,48.62,43.79,44.82,41.7,8.0,0,0,0.0,1,0,30.6,0.0,27.5
SCH_873,District_A,Block_A2,Urban,67.29,87.14,86.1,29.1,8.0,1,1,1.0,1,1,14.8,37.5,60.3
SCH_874,District_C,Block_C3,Urban,77.6,80.61,63.15,36.3,14.5,1,1,1.0,1,1,10.7,23.5,51.1
SCH_875,District_C,Block_C2,Urban,50.24,47.17,46.42,31.7,6.7,2,1,0.0,1,1,31.6,27.4,59.4
SCH_876,District_C,Block_C3,Rural,60.12,63.06,50.37,15.5,7.6,1,1,1.0,1,1,32.7,15.3,39.8
SCH_877,District_B,Block_B1,Rural,69.36,59.72,60.25,29.75,1.8,4,1,0.0,1,0,37.8,9.0,69.2
SCH_878,District_A,Block_A2,Rural,61.29,58.82,63.56,29.75,11.4,2,1,0.0,1,1,22.9,10.2,56.3
SCH_879,District_C,Block_C1,Rural,58.4,70.64,60.78,33.9,9.8,4,0,0.0,1,0,25.3,0.0,68.4
SCH_880,District_A,Block_A1,Rural,70.24,74.13,72.38,28.7,11.9,1,1,0.0,1,0,43.6,8.5,22.2
SCH_881,District_B,Block_B1,Urban,24.96,31.39,26.96,26.6,8.9,6,1,0.0,1,0,5.7,21.5,72.7
SCH_882,District_A,Block_A2,Rural,38.25,39.64,36.58,40.5,9.2,3,1,0.0,1,0,51.1,23.6,24.5
SCH_883,District_B,Block_B2,Rural,63.32,57.11,67.9,37.9,17.2,5,1,0.0,1,1,39.7,8.7,44.0
SCH_884,District_A,Block_A1,Rural,67.53,57.55,61.41,29.75,6.8,1,1,0.0,1,0,33.3,16.5,52.4
SCH_885,District_B,Block_B3,Rural,65.22,75.31,69.57,31.4,14.6,4,1,0.0,1,1,43.3,6.5,45.5
SCH_886,District_B,Block_B1,Rural,55.04,41.81,45.09,18.8,5.2,5,1,0.0,1,1,23.3,11.3,9.5
SCH_887,District_A,Block_A2,Rural,55.99,65.95,59.73,38.7,8.6,1,1,0.0,1,0,35.9,0.0,41.8
SCH_888,District_C,Block_C3,Rural,59.63,66.93,65.1,27.5,4.0,4,1,0.0,1,1,48.6,2.3,35.6
SCH_889,District_A,Block_A3,Rural,84.11,99.15,78.52,11.4,7.6,3,1,0.0,1,0,47.6,15.8,20.1
SCH_890,District_C,Block_C3,Rural,42.28,47.04,27.25,26.0,9.7,3,1,1.0,1,0,26.8,10.1,47.9
SCH_891,District_B,Block_B1,Rural,62.37,61.11,69.18,37.1,5.1,2,0,0.0,1,1,42.2,0.0,43.7
SCH_892,District_B,Block_B3,Rural,46.57,52.39,53.18,33.1,2.4,1,0,1.0,1,1,23.8,6.6,49.7
SCH_893,District_A,Block_A2,Urban,45.35,56.16,55.24,47.5,14.7,2,1,0.0,1,1,16.6,42.1,76.4
SCH_894,District_A,Block_A2,Urban,45.59,34.55,37.97,26.8,6.4,0,1,1.0,1,0,22.2,17.6,65.9
SCH_895,District_A,Block_A2,Rural,61.45,68.83,53.85,42.6,13.7,3,1,0.0,1,0,27.8,19.4,34.9
SCH_896,District_C,Block_C2,Rural,40.17,41.97,37.18,31.0,10.1,2,1,0.0,1,0,29.9,28.1,27.4
SCH_897,District_C,Block_C2,Rural,77.99,69.55,57.45,37.2,6.5,3,1,1.0,1,0,24.9,0.9,57.2
SCH_898,District_C,Block_C3,Rural,57.14,62.47,63.08,31.5,10.0,5,1,0.0,1,0,23.7,18.3,57.7
SCH_899,District_B,Block_B2,Rural,26.74,32.56,30.05,26.9,8.1,1,1,0.0,1,1,40.8,16.4,38.5
SCH_900,District_A,Block_A2,Rural,59.37,60.88,47.63,37.9,5.4,3,1,0.0,1,0,34.0,16.5,45.6
SCH_901,District_A,Block_A2,Urban,69.66,92.08,91.66,30.5,3.3,0,1,1.0,1,1,33.0,24.8,21.3
SCH_902,District_A,Block_A3,Rural,61.58,69.22,62.17,43.7,12.1,2,1,0.0,1,0,33.7,19.7,55.8
SCH_903,District_B,Block_B3,Rural,66.36,68.65,82.29,37.2,13.2,1,1,0.0,1,1,23.1,0.0,76.8
SCH_904,District_B,Block_B1,Rural,75.37,70.42,66.7,37.9,12.1,3,1,0.0,1,0,22.3,12.6,48.6
SCH_905,District_B,Block_B1,Rural,76.73,77.38,68.9,38.1,6.9,2,1,1.0,1,1,36.1,1.0,56.9
SCH_906,District_A,Block_A2,Rural,34.45,41.72,49.74,25.5,4.8,3,1,0.0,1,0,16.9,13.2,45.1
SCH_907,District_C,Block_C2,Rural,35.83,31.48,32.17,21.1,4.7,2,1,0.0,1,1,31.5,22.3,18.8
SCH_908,District_C,Block_C1,Rural,54.88,55.85,53.77,40.1,7.3,5,1,0.0,1,0,58.4,30.7,57.8
SCH_909,District_B,Block_B2,Rural,49.5,55.08,37.77,40.4,6.8,3,1,1.0,1,0,23.5,30.5,54.4
SCH_910,District_C,Block_C2,Rural,46.53,49.37,44.22,19.1,7.4,4,1,0.0,1,0,39.2,10.5,58.4
SCH_911,District_A,Block_A2,Rural,45.11,43.72,47.23,34.6,10.8,0,1,0.0,1,0,39.6,5.5,62.2
SCH_912,District_A,Block_A1,Rural,52.38,49.39,49.63,25.8,12.8,3,1,0.0,1,0,30.2,25.6,34.8
SCH_914,District_A,Block_A3,Rural,59.43,69.82,61.58,57.4,9.9,1,1,0.0,1,1,51.4,23.0,45.9
SCH_915,District_C,Block_C1,Urban,75.8,74.84,62.0,39.4,7.9,4,1,1.0,1,1,32.2,58.0,67.4
SCH_916,District_B,Block_B2,Urban,51.01,57.45,57.73,39.0,5.7,4,1,0.0,1,1,15.4,48.9,41.6
SCH_917,District_C,Block_C3,Rural,58.78,58.84,60.66,36.3,4.4,2,1,0.0,1,0,26.8,15.1,36.2
SCH_918,District_A,Block_A1,Rural,57.0,75.91,60.56,32.3,9.0,1,0,0.0,1,0,23.8,1.6,62.7
SCH_919,District_A,Block_A1,Rural,57.79,62.91,52.73,19.9,0.6,3,1,1.0,1,0,29.2,34.5,60.6
SCH_920,District_B,Block_B1,Urban,71.21,63.64,98.39,30.3,8.6,4,1,0.0,1,0,32.6,34.9,52.5
SCH_921,District_A,Block_A3,Rural,58.19,50.09,64.71,44.4,11.6,2,0,1.0,1,0,33.4,11.4,49.2674134419552
SCH_922,District_A,Block_A3,Urban,65.71,80.99,86.45,38.6,0.0,3,1,1.0,1,1,29.2,56.3,57.5
SCH_923,District_A,Block_A1,Rural,73.97,79.2,77.59,35.4,4.0,1,1,1.0,1,0,47.5,18.8,53.0
SCH_924,District_C,Block_C2,Rural,69.19,71.53,67.15,31.7,12.6,3,1,1.0,1,0,46.3,11.4,23.3
SCH_925,District_B,Block_B3,Urban,60.46,55.06,59.34,22.4,16.8,0,1,0.0,1,1,32.0,47.1,73.8
SCH_926,District_C,Block_C2,Urban,64.35,69.86,74.42,43.4,12.1,2,1,1.0,1,0,25.9,24.6,72.4
SCH_927,District_C,Block_C3,Rural,43.25,39.0,21.45,18.9,12.6,1,1,0.0,1,1,39.9,10.7,62.6
SCH_928,District_C,Block_C3,Rural,57.88,54.03,48.51,29.75,13.5,3,0,0.0,1,1,35.2,14.9,80.8
SCH_929,District_C,Block_C2,Urban,67.94,77.79,67.5,29.75,10.3,2,1,1.0,1,0,18.2,24.4,57.4
SCH_930,District_C,Block_C2,Rural,66.83,71.19,39.59,23.0,9.2,2,1,0.0,1,0,33.9,4.8,33.8
SCH_931,District_A,Block_A2,Urban,67.65,80.55,65.08,25.0,1.6,2,1,1.0,1,1,17.0,28.1,57.7
SCH_932,District_A,Block_A2,Rural,65.38,67.43,68.71,23.3,3.0,3,1,0.0,1,0,33.9,13.6,74.1
SCH_933,District_B,Block_B3,Urban,57.26,73.68,74.75,23.7,9.5,1,1,0.0,1,1,21.7,24.1,77.6
SCH_934,District_B,Block_B2,Rural,53.1,62.38,63.58,26.7,18.2,0,1,0.0,1,0,19.9,2.5,51.3
SCH_935,District_C,Block_C1,Rural,70.74,76.37,83.08,28.8,7.3,5,1,0.0,0,1,45.8,12.7,37.0
SCH_936,District_B,Block_B3,Rural,45.04,39.59,38.2,29.7,5.4,4,1,0.0,1,0,45.4,12.9,84.3
SCH_937,District_A,Block_A2,Rural,70.52,66.21,69.8,21.9,11.3,1,1,1.0,1,1,36.4,1.4,45.4
SCH_938,District_B,Block_B2,Rural,62.33,67.77,72.09,29.75,14.5,4,1,0.0,1,1,56.9,6.5,30.1
SCH_939,District_A,Block_A1,Rural,58.72,68.44,55.82,32.8,8.6,3,0,1.0,1,0,43.8,17.7,38.7
SCH_940,District_B,Block_B2,Rural,47.61,56.69,49.91,29.75,9.1,2,1,0.0,1,0,37.7,15.3,55.7
SCH_941,District_A,Block_A3,Rural,73.25,74.97,62.88,46.7,7.0,2,1,1.0,1,0,30.3,0.0,48.5
SCH_942,District_A,Block_A3,Rural,79.17,79.19,71.93,37.1,2.5,8,1,0.0,1,0,41.3,3.7,25.4
SCH_944,District_B,Block_B2,Rural,52.13,61.22,41.61,25.8,0.9,5,1,0.0,1,0,28.0,16.0,32.1
SCH_945,District_C,Block_C3,Rural,42.5,44.36,34.66,27.9,4.3,4,1,0.0,1,0,35.8,17.2,52.8
SCH_946,District_C,Block_C1,Rural,65.18,60.12,65.0,24.9,4.1,3,1,0.0,1,0,31.9,12.0,28.8
SCH_947,District_B,Block_B3,Rural,46.64,50.08,66.53,43.5,11.6,2,1,0.0,0,1,43.0,0.0,50.5
SCH_948,District_C,Block_C1,Urban,97.28,100.0,100.0,17.8,0.6,2,0,0.0,1,0,11.8,44.2,50.6
SCH_949,District_B,Block_B3,Rural,66.63,55.32,53.5,12.2,12.7,2,1,0.0,1,1,34.8,4.4,25.5
SCH_950,District_B,Block_B3,Rural,79.27,78.48,79.1,10.0,2.7,4,1,0.0,1,0,41.1,13.9,63.2
SCH_951,District_A,Block_A1,Rural,83.38,68.83,80.72,24.8,15.0,4,1,0.0,1,1,50.5,10.0,37.6
SCH_952,District_B,Block_B1,Rural,34.57,40.51,30.58,38.7,10.8,2,0,1.0,1,1,49.7,19.9,54.9
SCH_954,District_A,Block_A3,Rural,60.37,63.24,67.29,24.3,5.4,1,1,0.0,1,1,28.8,15.3,44.7
SCH_956,District_A,Block_A1,Rural,44.5,50.88,55.23,37.2,3.2,1,1,0.0,1,1,45.0,10.6,57.4
SCH_957,District_C,Block_C2,Rural,93.3,100.0,94.62,29.5,6.3,0,1,0.0,1,0,35.9,10.6,56.1
SCH_958,District_B,Block_B3,Rural,54.6,55.62,55.51,18.6,4.9,2,1,0.0,1,0,17.2,3.6,42.6
SCH_959,District_C,Block_C3,Rural,53.82,52.49,46.79,31.7,17.2,1,0,0.0,1,1,27.6,0.0,37.0
SCH_960,District_A,Block_A2,Rural,59.5,61.58,63.85,36.8,9.1,2,1,0.0,1,0,24.2,11.1,19.0
SCH_961,District_B,Block_B2,Rural,52.82,75.33,67.85,28.0,8.7,3,1,1.0,1,1,27.9,29.8,52.9
SCH_962,District_B,Block_B2,Rural,64.32,80.72,72.14,37.6,16.2,2,1,0.0,1,0,48.1,32.3,47.0
SCH_963,District_B,Block_B3,Rural,73.53,75.96,73.26,34.8,14.1,5,1,0.0,1,1,36.0,24.8,34.9
SCH_964,District_C,Block_C1,Rural,48.76,41.47,49.8,21.5,8.5,2,1,0.0,1,0,38.7,16.7,55.1
SCH_965,District_C,Block_C3,Rural,60.4,64.7,61.53,20.3,8.0,1,1,0.0,1,0,52.6,0.0,58.0
SCH_966,District_B,Block_B1,Rural,72.82,70.51,65.84,25.4,10.8,1,1,0.0,1,0,44.6,10.2,29.0
SCH_967,District_B,Block_B1,Urban,49.49,51.06,24.66,21.9,5.6,2,1,1.0,1,1,19.3,30.9,54.0
SCH_968,District_C,Block_C3,Rural,59.86,65.14,84.02,25.3,16.2,4,1,0.0,1,1,43.5,23.2,44.3
SCH_969,District_B,Block_B2,Urban,28.02,33.51,21.75,43.0,9.6,2,1,0.0,1,0,4.8,0.5,52.2
SCH_970,District_B,Block_B3,Rural,60.27,54.61,72.11,59.6,6.7,2,1,0.0,1,1,35.5,0.0,57.4
SCH_971,District_C,Block_C3,Rural,71.11,81.99,78.85,20.4,9.8,2,0,0.0,1,0,42.9,12.6,40.0
SCH_972,District_A,Block_A2,Rural,64.46,70.59,64.85,21.3,6.3,2,1,1.0,1,0,49.3,11.1,61.6
SCH_973,District_A,Block_A3,Urban,40.05,32.99,25.06,22.3,11.3,1,1,0.0,1,1,22.3,31.3,42.8
SCH_974,District_C,Block_C1,Rural,97.21,96.23,95.87,16.7,4.8,2,1,0.0,1,0,54.0,5.8,59.9
SCH_975,District_B,Block_B2,Urban,55.21,50.9,44.18,40.3,0.7,0,1,0.0,1,1,36.2,34.3,44.5
SCH_976,District_C,Block_C3,Rural,76.3,65.57,65.72,20.9,12.9,3,0,0.0,1,1,31.2,22.9,33.4
SCH_977,District_C,Block_C2,Urban,32.21,49.28,34.71,26.7,2.7,2,1,0.0,1,1,26.7,51.5,48.16411214953271
SCH_978,District_A,Block_A3,Rural,38.4,39.76,28.73,39.9,10.3,1,1,0.0,1,0,31.4,20.3,50.6
SCH_979,District_C,Block_C1,Urban,51.62,59.97,48.61,48.3,9.4,1,1,0.0,1,1,13.8,29.8,55.9
SCH_980,District_B,Block_B3,Rural,81.04,81.29,88.33,34.3,7.2,1,1,0.0,0,0,18.4,1.2,43.8
SCH_981,District_B,Block_B3,Rural,87.29,94.03,100.0,10.0,4.8,1,1,0.0,1,0,30.3,15.4,69.0
SCH_982,District_B,Block_B1,Urban,59.04,48.26,36.93,23.5,7.7,1,1,1.0,1,0,33.9,23.3,78.5
SCH_983,District_C,Block_C3,Rural,62.41,69.92,70.59,21.3,0.0,0,1,0.0,1,0,38.5,8.4,55.1
SCH_984,District_C,Block_C3,Rural,43.07,65.21,61.37,31.9,7.3,2,1,1.0,1,0,32.5,0.0,66.7
SCH_985,District_C,Block_C1,Rural,75.87,76.37,77.22,46.4,3.8,6,1,0.0,1,1,37.0,2.0,20.1
SCH_986,District_C,Block_C3,Rural,35.9,35.0,37.37,45.9,7.3,4,0,0.0,1,0,28.9,15.9,13.0
SCH_987,District_B,Block_B3,Rural,55.16,67.11,49.83,27.7,8.6,0,1,0.0,1,0,30.6,7.5,25.5
SCH_989,District_B,Block_B2,Rural,74.06,85.87,84.84,40.7,5.2,3,0,0.0,1,0,10.7,2.0,55.0
SCH_990,District_A,Block_A1,Rural,74.91,78.44,72.02,28.2,1.0,6,1,0.0,1,0,33.2,17.6,36.0
SCH_991,District_B,Block_B2,Rural,87.99,88.41,96.61,42.3,12.1,1,1,0.0,1,1,36.3,13.3,39.3
SCH_992,District_A,Block_A1,Rural,49.38,55.58,59.96,33.2,0.6,1,1,0.0,0,0,19.1,2.4,54.7
SCH_993,District_A,Block_A1,Rural,71.06,76.26,57.82,44.2,8.6,2,0,0.0,1,1,31.0,3.5,25.1
SCH_994,District_A,Block_A2,Urban,61.01,67.45,60.76,21.2,14.7,0,0,1.0,1,1,44.1,19.3,63.5
SCH_995,District_A,Block_A3,Urban,82.13,73.56,74.5,29.75,3.4,1,1,0.0,1,1,17.2,38.1,57.8
SCH_996,District_C,Block_C3,Rural,63.6,68.23,49.86,29.75,10.2,4,1,0.0,1,0,25.5,13.3,41.6
SCH_997,District_C,Block_C1,Rural,76.61,72.16,71.51,28.7,13.7,3,1,0.0,1,1,26.9,27.1,36.9
SCH_998,District_C,Block_C2,Urban,75.86,73.29,86.53,38.8,10.2,4,1,0.0,1,1,26.1,27.7,66.4
SCH_999,District_C,Block_C1,Rural,40.95,53.52,41.1,26.6,13.8,1,1,0.0,1,0,23.8,4.2,74.2
SCH_1000,District_C,Block_C2,Rural,70.88,59.4,69.07,47.3,5.2,1,1,0.0,1,0,44.2,0.7,66.4
SCH_1001,District_A,Block_A1,Rural,63.92,68.89,65.87,17.0,11.5,2,1,0.0,1,1,42.4,0.1,61.0
SCH_1002,District_A,Block_A3,Urban,53.33,49.57,34.03,41.4,11.9,0,1,1.0,1,1,7.3,32.0,52.5
SCH_1003,District_C,Block_C1,Rural,53.4,49.93,44.04,40.4,1.4,0,0,0.0,1,0,27.4,1.1,45.5
SCH_1004,District_C,Block_C2,Rural,55.77,49.69,65.29,35.7,12.5,1,1,0.0,0,1,47.1,9.5,31.9
SCH_1005,District_A,Block_A2,Rural,50.97,54.53,31.53,21.8,13.0,1,0,1.0,1,0,33.5,5.5,38.6
SCH_1006,District_B,Block_B3,Rural,87.34,82.76,100.0,30.3,0.7,3,0,0.0,1,0,33.2,1.4,52.4
SCH_1007,District_C,Block_C1,Urban,75.38,84.02,71.77,21.5,11.3,1,1,0.0,1,1,3.7,10.2,41.9
SCH_1008,District_B,Block_B3,Rural,49.35,57.57,61.85,10.0,5.4,7,1,0.0,1,0,58.2,11.7,36.2
SCH_1009,District_B,Block_B3,Urban,41.67,44.79,28.86,43.3,6.8,2,1,0.0,1,0,13.1,35.0,62.3
SCH_1010,District_B,Block_B1,Urban,86.22,96.89,86.53,31.7,0.0,2,1,0.0,1,0,26.4,27.7,37.4
SCH_1011,District_C,Block_C1,Urban,35.47,49.32,52.92,25.3,9.0,1,1,0.0,1,1,20.4,27.9,95.9
SCH_1012,District_B,Block_B2,Rural,68.49,67.62,59.88,31.4,14.6,1,1,0.0,1,1,43.6,23.2,20.8
SCH_1013,District_A,Block_A2,Rural,54.23,68.71,69.55,20.4,6.3,1,1,1.0,1,0,26.3,4.4,35.4
SCH_1014,District_C,Block_C3,Rural,59.03,35.4,49.69,27.0,4.1,3,1,0.0,1,0,38.2,0.0,18.0
SCH_1015,District_B,Block_B2,Rural,84.89,100.0,99.09,15.3,0.5,5,1,0.0,1,0,48.8,10.3,27.2
SCH_1016,District_B,Block_B2,Rural,74.97,78.32,66.27,44.8,5.5,4,1,0.0,1,0,50.4,24.4,32.6
SCH_1017,District_C,Block_C3,Rural,49.5,42.96,44.15,24.7,10.4,2,1,0.0,1,1,34.5,7.6,22.6
SCH_1018,District_B,Block_B1,Rural,61.45,79.22,80.62,20.8,17.7,2,1,0.0,1,0,34.7,10.2,62.8
SCH_1019,District_A,Block_A3,Rural,63.22,58.82,65.55,31.9,10.5,0,1,1.0,1,0,47.1,17.3,63.5
SCH_1020,District_A,Block_A2,Rural,53.43,49.23,55.51,23.3,10.0,2,1,0.0,1,1,26.7,15.2,54.8
SCH_1021,District_A,Block_A3,Urban,74.08,86.84,72.99,36.0,6.1,4,1,0.0,1,1,13.9,20.6,61.7
SCH_1022,District_B,Block_B2,Rural,76.46,67.89,68.61,29.75,8.2,2,1,0.0,1,0,42.6,7.8,56.1
SCH_1023,District_C,Block_C1,Urban,83.84,97.93,84.69,10.0,7.1,5,1,0.0,1,1,17.1,33.7,65.5
SCH_1024,District_C,Block_C3,Rural,59.17,73.46,77.47,26.0,1.4,1,1,0.0,1,0,34.4,16.8,54.9
SCH_1025,District_A,Block_A2,Rural,67.24,75.3,76.0,31.0,10.8,0,1,0.0,0,0,10.8,9.1,49.0
SCH_1026,District_A,Block_A1,Rural,77.44,79.27,78.66,14.9,12.1,1,1,1.0,1,1,41.3,3.1,51.5
SCH_1027,District_B,Block_B2,Rural,70.91,57.43,74.42,41.5,0.0,2,1,0.0,1,0,47.8,22.1,29.5
SCH_1028,District_C,Block_C1,Urban,36.43,30.25,46.27,28.4,9.2,0,1,0.0,1,0,38.1,30.2,37.2
SCH_1029,District_B,Block_B1,Rural,64.8,75.77,70.29,37.9,7.5,2,1,0.0,1,0,44.8,15.1,35.1
SCH_1030,District_A,Block_A2,Urban,33.11,39.85,40.09,25.1,5.3,2,1,1.0,1,1,13.1,32.4,64.9
SCH_1031,District_B,Block_B1,Rural,79.0,73.82,79.5,29.75,10.8,2,1,0.0,1,0,43.0,0.0,43.2
SCH_1032,District_B,Block_B1,Urban,67.65,73.23,61.1,34.0,15.9,3,1,0.0,1,0,6.1,30.1,66.3
SCH_1033,District_B,Block_B3,Rural,32.76,22.16,34.81,24.3,9.7,1,1,1.0,1,1,36.1,6.8,41.6
SCH_1034,District_B,Block_B1,Rural,53.48,42.75,51.12,36.7,14.0,5,1,0.0,1,1,43.6,15.7,43.1
SCH_1035,District_B,Block_B1,Urban,62.49,73.46,76.87,33.5,10.4,3,1,1.0,1,0,32.7,23.1,33.1
SCH_1036,District_B,Block_B1,Urban,50.26,54.19,56.76,23.5,5.7,1,1,1.0,1,1,13.2,47.5,41.5
SCH_1037,District_A,Block_A2,Rural,67.65,76.99,85.23,21.7,6.6,2,1,0.0,1,1,16.1,0.0,39.7
SCH_1038,District_A,Block_A3,Rural,59.43,69.0,63.86,27.2,10.1,1,1,0.0,0,0,41.0,9.1,74.1
SCH_1039,District_C,Block_C2,Rural,59.67,73.62,66.5,31.7,8.8,0,1,0.0,1,0,30.3,10.8,40.0
SCH_1040,District_A,Block_A1,Rural,59.99,69.58,55.21,37.1,11.2,1,1,0.0,1,0,44.4,9.0,55.0
SCH_1041,District_A,Block_A2,Rural,61.48,62.87,62.36,57.0,9.2,2,1,0.0,1,0,41.5,13.9,31.1
SCH_1042,District_B,Block_B3,Urban,42.09,42.54,27.99,58.2,1.4,4,1,0.0,1,0,20.1,28.6,61.8
SCH_1043,District_A,Block_A3,Rural,101.807375735662,92.05,76.47,28.5,7.4,3,1,0.0,1,0,34.7,0.0,37.7
SCH_1044,District_B,Block_B2,Urban,61.67,63.23,79.44,25.9,4.8,1,1,1.0,1,1,24.0,25.7,38.2
SCH_1045,District_C,Block_C1,Urban,70.26,74.34,85.41,18.6,10.0,0,1,0.0,1,0,7.5,17.6,42.1
SCH_1046,District_A,Block_A1,Rural,68.36,85.31,66.87,42.2,8.2,1,1,0.0,1,1,21.6,11.9,44.9
SCH_1047,District_B,Block_B1,Rural,63.31,71.97,61.5,29.3,6.5,0,1,0.0,1,0,22.3,29.1,30.9
SCH_1048,District_A,Block_A3,Rural,60.32,72.77,59.26,36.8,4.8,3,1,1.0,1,0,37.8,18.5,26.5
SCH_1049,District_C,Block_C3,Rural,64.58,61.45,46.04,40.4,0.8,1,0,0.0,1,1,31.6,0.0,56.0
SCH_1050,District_C,Block_C2,Rural,33.67,34.41,36.33,17.1,7.1,0,1,0.0,1,0,37.2,9.0,56.3
SCH_1051,District_A,Block_A2,Rural,44.79,41.42,29.88,29.75,2.1,2,0,0.0,0,0,44.5,16.0,72.9
SCH_1052,District_A,Block_A2,Urban,50.99,46.9,49.38,38.1,5.6,2,1,1.0,1,1,23.3,23.4,91.5
SCH_1053,District_A,Block_A1,Rural,63.42,64.14,57.3,28.2,10.7,2,1,0.0,1,1,43.3,13.6,71.7
SCH_1054,District_A,Block_A2,Rural,67.2,68.03,73.93,35.6,2.8,4,1,0.0,1,1,38.1,0.0,47.4
SCH_1055,District_C,Block_C3,Urban,72.94,72.86,72.03,24.4,7.8,1,1,0.0,1,1,22.6,43.1,37.9
SCH_1056,District_B,Block_B1,Urban,47.4,46.31,10.51,50.9,10.2,1,1,0.0,1,1,12.3,18.7,61.2
